,Theta,Order,Size_thresh,Mod_thresh,Arg_thresh,run_time
0,25.681218248079375,MSA,0.65,0.7,0.35,734.8685731887817
1,25.661098604937678,MSA,0.65,0.7,0.36,739.4331741333008
2,25.889166467464655,MSA,0.65,0.7,0.37,712.0070769786835
3,25.814975452462043,MSA,0.65,0.7,0.38,690.8775291442871
4,25.588441262888594,MSA,0.65,0.7,0.39,677.1435735225677
5,25.49952975860962,MSA,0.65,0.7,0.4,660.9434268474579
6,25.650179573343415,MSA,0.65,0.7,0.41,655.3919773101807
7,25.821177430818125,MSA,0.65,0.7,0.42,643.7055962085724
8,25.475590936187263,MSA,0.65,0.7,0.43,635.6373324394226
9,25.237447178182595,MSA,0.65,0.7,0.44,617.1318955421448
10,25.003937186468487,MSA,0.65,0.7,0.45,605.0681018829346
11,25.453771976916588,MSA,0.66,0.7,0.35,748.8770480155945
12,25.625663622534905,MSA,0.66,0.7,0.36,745.9743535518646
13,25.776779913104644,MSA,0.66,0.7,0.37,729.9120745658875
14,25.69910320314268,MSA,0.66,0.7,0.38,711.5917701721191
15,25.45930158214329,MSA,0.66,0.7,0.39,703.0998826026917
16,25.540418682243676,MSA,0.66,0.7,0.4,684.0693862438202
17,25.705601627050594,MSA,0.66,0.7,0.41,683.879857301712
18,25.93746252213962,MSA,0.66,0.7,0.42,662.3620223999023
19,25.551723948907313,MSA,0.66,0.7,0.43,658.0708422660828
20,25.308365844677095,MSA,0.66,0.7,0.44,636.499153137207
21,25.13205655332633,MSA,0.66,0.7,0.45,619.1044409275055
22,25.416914047543976,MSA,0.67,0.7,0.35,767.8045084476471
23,25.472088708765607,MSA,0.67,0.7,0.36,757.10564494133
24,25.522382802197257,MSA,0.67,0.7,0.37,737.7604486942291
25,25.603111034290084,MSA,0.67,0.7,0.38,724.5994057655334
26,25.423398033944704,MSA,0.67,0.7,0.39,715.258317232132
27,25.41164193916982,MSA,0.67,0.7,0.4,688.3101789951324
28,25.518736304947176,MSA,0.67,0.7,0.41,685.1701617240906
29,25.742554671231176,MSA,0.67,0.7,0.42,667.2777132987976
30,25.443191801634363,MSA,0.67,0.7,0.43,655.550461769104
31,25.2126205976969,MSA,0.67,0.7,0.44,636.9521551132202
32,25.02233265355887,MSA,0.67,0.7,0.45,622.447521686554
33,25.539148775184113,MSA,0.68,0.7,0.35,769.1110401153564
34,25.564801838755844,MSA,0.68,0.7,0.36,764.4473602771759
35,25.48933177903617,MSA,0.68,0.7,0.37,745.8589148521423
36,25.56959762400528,MSA,0.68,0.7,0.38,724.4443688392639
37,25.52863949594905,MSA,0.68,0.7,0.39,712.7654666900635
38,25.513899965181093,MSA,0.68,0.7,0.4,697.6278522014618
39,25.671818692598833,MSA,0.68,0.7,0.41,686.4718255996704
40,25.87672543533177,MSA,0.68,0.7,0.42,670.3509345054626
41,25.655196768949065,MSA,0.68,0.7,0.43,664.3009643554688
42,25.283475017111858,MSA,0.68,0.7,0.44,644.8148972988129
43,25.20502115588464,MSA,0.68,0.7,0.45,625.6802837848663
44,25.255188483064806,MSA,0.69,0.7,0.35,775.2535779476166
45,25.33418859976782,MSA,0.69,0.7,0.36,765.469395160675
46,25.285267004620238,MSA,0.69,0.7,0.37,737.0642635822296
47,25.335309075062263,MSA,0.69,0.7,0.38,722.6423120498657
48,25.34148537683321,MSA,0.69,0.7,0.39,704.9568910598755
49,25.34148537683321,MSA,0.69,0.7,0.4,537.141768693924
50,25.502915814818596,MSA,0.69,0.7,0.41,684.2880339622498
51,25.68457996339618,MSA,0.69,0.7,0.42,671.0862746238708
52,25.552009795134104,MSA,0.69,0.7,0.43,655.0891411304474
53,25.10897768140981,MSA,0.69,0.7,0.44,639.3806629180908
54,25.108998318300895,MSA,0.69,0.7,0.45,625.6612164974213
55,25.69842935389201,MSA,0.7,0.7,0.35,783.9234232902527
56,25.693908908156157,MSA,0.7,0.7,0.36,761.9148328304291
57,25.545296526207572,MSA,0.7,0.7,0.37,747.1902320384979
58,25.56274441593847,MSA,0.7,0.7,0.38,729.4758358001709
59,25.7126806753386,MSA,0.7,0.7,0.39,714.1249721050262
60,25.350291050851318,MSA,0.7,0.7,0.4,702.2985262870789
61,25.364767208089866,MSA,0.7,0.7,0.41,689.425812959671
62,25.304711723993876,MSA,0.7,0.7,0.42,676.1252067089081
63,25.440768827425302,MSA,0.7,0.7,0.43,661.6801397800446
64,24.995110427606058,MSA,0.7,0.7,0.44,649.8282613754272
65,25.317842198634104,MSA,0.7,0.7,0.45,645.4547531604767
66,25.555725972946608,MSA,0.71,0.7,0.35,784.5877170562744
67,25.467224604658742,MSA,0.71,0.7,0.36,765.7488725185394
68,25.40883366381727,MSA,0.71,0.7,0.37,751.9116358757019
69,25.481352061213546,MSA,0.71,0.7,0.38,729.4593226909637
70,25.453357725004565,MSA,0.71,0.7,0.39,726.2221026420593
71,25.212321574138645,MSA,0.71,0.7,0.4,702.4042451381683
72,25.167789622233087,MSA,0.71,0.7,0.41,692.2879717350006
73,25.1122823542272,MSA,0.71,0.7,0.42,678.853675365448
74,25.1157022648463,MSA,0.71,0.7,0.43,657.7334532737732
75,24.795417489386953,MSA,0.71,0.7,0.44,648.3663725852966
76,24.955955889202034,MSA,0.71,0.7,0.45,632.7636058330536
77,25.713258389419387,MSA,0.72,0.7,0.35,780.330705165863
78,25.603546500853316,MSA,0.72,0.7,0.36,761.1695892810822
79,25.587989047462685,MSA,0.72,0.7,0.37,744.0806519985199
80,25.749136850393164,MSA,0.72,0.7,0.38,727.8521838188171
81,25.724151342525943,MSA,0.72,0.7,0.39,717.1932079792023
82,25.40115786824405,MSA,0.72,0.7,0.4,701.8433930873871
83,25.358277225519377,MSA,0.72,0.7,0.41,688.2700033187866
84,25.147826635667933,MSA,0.72,0.7,0.42,678.225638628006
85,25.183218697777356,MSA,0.72,0.7,0.43,664.935469865799
86,24.84164949836611,MSA,0.72,0.7,0.44,647.1594684123993
87,24.96541558501965,MSA,0.72,0.7,0.45,635.077073097229
88,25.778794458076543,MSA,0.73,0.7,0.35,787.5619280338287
89,25.59059494768917,MSA,0.73,0.7,0.36,775.6714963912964
90,25.60933281398057,MSA,0.73,0.7,0.37,764.539576292038
91,25.59495610296039,MSA,0.73,0.7,0.38,732.2215316295624
92,25.62971964657105,MSA,0.73,0.7,0.39,718.4492979049683
93,25.38457023497703,MSA,0.73,0.7,0.4,708.4501781463623
94,25.254968849939704,MSA,0.73,0.7,0.41,702.0361621379852
95,25.543927627657485,MSA,0.73,0.7,0.42,683.1160435676575
96,25.566609171169738,MSA,0.73,0.7,0.43,669.966335773468
97,25.00417091459221,MSA,0.73,0.7,0.44,653.9437944889069
98,25.158468713815484,MSA,0.73,0.7,0.45,635.3455564975739
99,25.75286019622813,MSA,0.74,0.7,0.35,790.561753988266
100,25.585206866592973,MSA,0.74,0.7,0.36,773.9416854381561
101,25.691936385036136,MSA,0.74,0.7,0.37,756.6742920875549
102,25.67194046330139,MSA,0.74,0.7,0.38,739.5763745307922
103,25.63802634474298,MSA,0.74,0.7,0.39,726.6651926040649
104,25.557394580822432,MSA,0.74,0.7,0.4,711.2097051143646
105,25.422132063145455,MSA,0.74,0.7,0.41,718.1762592792511
106,25.847173156411838,MSA,0.74,0.7,0.42,685.6152129173279
107,25.743468814962068,MSA,0.74,0.7,0.43,672.409049987793
108,25.06091934880329,MSA,0.74,0.7,0.44,658.053460597992
109,25.2405086690859,MSA,0.74,0.7,0.45,646.1297013759613
110,25.993061288380908,MSA,0.75,0.7,0.35,787.9123241901398
111,25.838740719623992,MSA,0.75,0.7,0.36,777.9087979793549
112,25.76442357738812,MSA,0.75,0.7,0.37,768.4115715026855
113,25.80406445786877,MSA,0.75,0.7,0.38,740.7826280593872
114,25.701906142344562,MSA,0.75,0.7,0.39,730.9320783615112
115,25.493654734192535,MSA,0.75,0.7,0.4,713.1410949230194
116,25.431099705164023,MSA,0.75,0.7,0.41,697.8052842617035
117,25.84611360334329,MSA,0.75,0.7,0.42,686.251758813858
118,25.71832154416391,MSA,0.75,0.7,0.43,672.9281737804413
119,25.421788775692075,MSA,0.75,0.7,0.44,661.7282707691193
120,25.505923940054785,MSA,0.75,0.7,0.45,644.8959536552429
